'level1';'level2';'level3';'filter0';'filter1';'Data[0]';'Data[1]';'Data[2]';'Data[3]'
'กาฬสินธุ์';'นามน';'สงเปลือย';'470041';'458800';'สงเปลือยวิทยายน';'น้ำไหลเข้าท่วมโรงเรียน ทำให้พื้นอาคารเรียน ถนนและร่องระบายน้ำได้รับความเสียหาย';'1 หลัง  1 แห่ง';'1. ถมดินใต้ถุนอาคารเรียน 2. เทพื้นคอนกรีตใต้อาคารเรียน  3. ก่อสร้างร่องระบายน้ำ'
'กาฬสินธุ์';'กุฉินารายณ์';'เหล่าไฮงาม';'574642';'560900';'บ้านหนองเม็ก';'น้ำท่วมโรงเรียน ทำให้อาคารเรียน ถนนและสนาม ได้รับความเสียหาย';'1 หลัง  1 แห่ง';'1. ก่อสร้างถนนคอนกรีตเสริมเหล็ก
2. ถมดินใต้ถุนอาคารเรียน
3. ถมดินสนามกีฬา'
'กาฬสินธุ์';'ยางตลาด';'ดอนสมบูรณ์';'566241';'552700';'บ้านหนองขามป้อม';'น้ำไหลเข้าท่วมโรงเรียน ทำให้ถนนภายในโรงเรียนได้รับความเสียหาย';'1 แห่ง';'1. ก่อสร้างถนนคอนกรีตเสริมเหล็ก'
'กาฬสินธุ์';'คำม่วง';'เนินยาง';'1157685';'1130000';'ชุมชนหนองยางวิทยาคม';'น้ำท่วมโรงเรียน พื้นอาคารเรียน ถนนเสียหาย';'1 แห่ง';'1. ปรับปรุง ถมดินสนามกีฬาฟุตบอล  2. ปรับปรุงถนนคอนกรีตเสริมเหล็กภายในบริเวณโรงเรียน    '
'กาฬสินธุ์';'คำม่วง';'เนินยาง';'1465035';'1430000';'สูงเนินวิทยาคม';'น้ำท่วมโรงเรียน อาคารโรงฝึกงาน ถนน สนามโรงเรียน เสียหาย';'1 หลัง  1 แห่ง';'1. ปรับปรุงซ่อมแซมอาคารโรงฝึกงานแบบ 312  2. ปรับปรุงซ่อมแซมถนนคอนกรีตเสริมเหล็ก  3. ปรับปรุงซ่อมแซมสนามกีฬา'
'ขอนแก่น';'เมืองขอนแก่น';'เมืองเก่า';'3404414';'3323000';'บ้านกุดกว้างประชาสรรค์';'น้ำไหลท่วมโรงเรียน สนามบาสเกตบอล สนามฟุตบอล สนามวอลเลย์บอล รั้ว โรงเรียน เสียหาย ';'1 แห่ง';'งานถมดินสนามบาสเก็ตบอล วอลเลย์บอลฟุตบอล ซ่อมแซมรั้ว ความยาว 760 ม.'
'ขอนแก่น';'เมืองขอนแก่น';'บ้านหว้า';'184410';'180000';'บ้านหนองทุ่มหนองหว้า';'น้ำท่วมร่องระบายน้ำ ภูมิทัศน์โรงเรียน เสียหาย ';'1 หลัง  1 แห่ง';'ปรับปรุงซ่อมแซมอาคารเรียนแบบ ป  1 ฉงานเทพื้นถมดิน  กว้าง 27 ม. ยาว 12 ม. สูง 0.50 ม.จำนวน162ลบ.ม.ปรับปรุงซ่อมแซมภูมิทัศน์ถมดิน  กว้าง 65 ม. ยาว 80 ม. สูง 0.30 ม.จำนวน1560ลบ.ม.'
'ขอนแก่น';'เมืองขอนแก่น';'ศิลา';'309809';'302400';'บ้านห้วยชัน';'น้ำไหลท่วมอาคารเรียน อาคารอเนกประสงค์ ส้วม ถนนโรงเรียน ';'1 หลัง  1 แห่ง';'งานเปลี่ยนบานประตู หน้าต่าง ทาสี อาคารเรียน สปช.102/26  ปูพื้นกระเบื้องอาคารเรียน ป 1 ฉ ซ่อมพื้นอาคารอเนกประสงค์  ทาสีผนัง เพดาน เปลี่ยนบานประตูห้องน้ำ'
'ขอนแก่น';'เมืองขอนแก่น';'บึงเนียม';'191582';'187000';'บ้านบึงฉิม';'น้ำท่วมโรงเรียน อาคารเรียน อาคารอเนกประสงค์ ส้วม สนาม เสียหาย ';'1 หลัง  1 แห่ง';'งานเปลี่ยนประตูห้องส้วม ทาสีอาคารเรียนอเนกประสงค์ ส้วม ปรับสภาพพื้นสนาม  ปรับพื้นสนามเด็กเล่น'
'ขอนแก่น';'ชุมแพ';'นาเพียง';'342798';'334600';'บ้านนาเพียง';'น้ำไหลท่วมโรงเรียน อาคารเรียน ถนน รั้ว โรงอาหาร เสียหาย ';'1 หลัง  1 แห่ง';'งานเปลี่ยนประตูและทาสีอาคารเรียน ป 1 ฉ  เปลี่ยนสุขภัณฑ์และบานประตูห้องส้วมปรับพื้นผิวโรงอาหาร พื้นฟุตบาทรอบอาคารเรียน ซ่อมรั้วคอนกรีต  100 ม.ซ่อมถนนคอนกรีต'
'ขอนแก่น';'น้ำพอง';'กุดน้ำใส';'3404414';'3323000';'บ้านกุดกว้างประชาสรรค์';'น้ำไหลท่วมโรงเรียน สนามบาสเกตบอล สนามฟุตบอล สนามวอลเลย์บอล รั้ว โรงเรียน เสียหาย ';'1 แห่ง';'งานถมดินสนามบาสเก็ตบอล วอลเลย์บอลฟุตบอล ซ่อมแซมรั้ว ความยาว 760 ม.'
'ขอนแก่น';'พล';'หัวทุ่ง';'184410';'180000';'บ้านหนองทุ่มหนองหว้า';'น้ำท่วมร่องระบายน้ำ ภูมิทัศน์โรงเรียน เสียหาย ';'1 หลัง  1 แห่ง';'ปรับปรุงซ่อมแซมอาคารเรียนแบบ ป  1 ฉงานเทพื้นถมดิน  กว้าง 27 ม. ยาว 12 ม. สูง 0.50 ม.จำนวน162ลบ.ม.ปรับปรุงซ่อมแซมภูมิทัศน์ถมดิน  กว้าง 65 ม. ยาว 80 ม. สูง 0.30 ม.จำนวน1560ลบ.ม.'
'ขอนแก่น';'หนองสองห้อง';'สำโรง';'1386149';'1353000';'บ้านเหล่านกชุมวิทยาสรรค์';'น้ำไหลท่วมโรงเรียน อาคารเรียน โรงเรียนฝึกงาน ถนน สนามกีฬา เสียหาย ';'1 หลัง  1 แห่ง';'งานทาสีอาคารเรียน ซ่อมแซมระบบสายไฟฟ้า  อาคารเรียน สปช. 102/26 จำนวน 2 หลัง เปลี่ยนไม้กระดานอาคาร ป 1 ฉ ซ่อมถนน  สนามฟุตบอลและตะกร้อ'
'ขอนแก่น';'ภูเวียง';'นาหว้า';'309809';'302400';'บ้านห้วยชัน';'น้ำไหลท่วมอาคารเรียน อาคารอเนกประสงค์ ส้วม ถนนโรงเรียน ';'1 หลัง  1 แห่ง';'งานเปลี่ยนบานประตู หน้าต่าง ทาสี อาคารเรียน สปช.102/26  ปูพื้นกระเบื้องอาคารเรียน ป 1 ฉ ซ่อมพื้นอาคารอเนกประสงค์  ทาสีผนัง เพดาน เปลี่ยนบานประตูห้องน้ำ'
'ขอนแก่น';'เมืองขอนแก่น';'สำราญ';'342798';'334600';'บ้านนาเพียง';'น้ำไหลท่วมโรงเรียน อาคารเรียน ถนน รั้ว โรงอาหาร เสียหาย ';'1 หลัง  1 แห่ง';'งานเปลี่ยนประตูและทาสีอาคารเรียน ป 1 ฉ  เปลี่ยนสุขภัณฑ์และบานประตูห้องส้วมปรับพื้นผิวโรงอาหาร พื้นฟุตบาทรอบอาคารเรียน ซ่อมรั้วคอนกรีต  100 ม.ซ่อมถนนคอนกรีต'
'ขอนแก่น';'เมืองขอนแก่น';'ดอนช้าง';'530179';'517500';'บ้านดอนช้าง(ศรีสุขวิทยาคาร)';'น้ำไหลท่วมโรงเรียน สนามกีฬา รั้ว ส้วม สนามเด็กเล่น เสียหาย ';'1 หลัง  1 แห่ง';'งานถมสนามฟุตบอล กว้าง 60 ม. ยาว 70 ม. ซ่อมรั้ว ยาว 260 ม. เปลี่ยนประตูส้วมปรับถมยกระดับพื้น'
'ขอนแก่น';'เมืองขอนแก่น';'ดอนหัน';'1386149';'1353000';'บ้านเหล่านกชุมวิทยาสรรค์';'น้ำไหลท่วมโรงเรียน อาคารเรียน โรงเรียนฝึกงาน ถนน สนามกีฬา เสียหาย ';'1 หลัง  1 แห่ง';'งานทาสีอาคารเรียน ซ่อมแซมระบบสายไฟฟ้า  อาคารเรียน สปช. 102/26 จำนวน 2 หลัง เปลี่ยนไม้กระดานอาคาร ป 1 ฉ ซ่อมถนน  สนามฟุตบอลและตะกร้อ'
'ขอนแก่น';'เมืองขอนแก่น';'ศิลา';'78784';'76900';'บ้านดงพอง';'น้ำไหลท่วมโรงเรียน อาคารเรียน ส้วม อาคารอเนกประสงค์ เสียหาย ';'1 หลัง';'งานเปลี่ยนประตูและทาสีอาคารเรียน สปช. 102/26 สปช.105/29 ส้วม และทาสีอาคารอเนกประสงค์'
'ขอนแก่น';'เมืองขอนแก่น';'บึงเนียม';'76223';'74400';'พงษ์ภิญโญ 1';'น้ำไหลท่วมโรงเรียน อาคารเรียน ส้วม รั้วเสียหาย ';'1 หลัง  1 แห่ง';'งานทาสีผนังอาคารเรียน 220 ตร.ม.  เปลี่ยน  ประตูห้องส้วม จำนวน  4  ชุด  ซ่อมเสา รั้วคอนกรีต ยาว 3 เมตร '
'ขอนแก่น';'ชุมแพ';'นาหนองทุ่ม';'184410';'180000';'บ้านวังยาวสามัคคี';'น้ำท่วมอาคารเรียน  เสียหาย ';'1 หลัง  1 แห่ง';'ปรับปรุงอาคารเรียนงานพื้นถมดินสูง 40  ซม.    จำนวน  230ลบ.ม.เทพื้น ค.ส.ล. หนา  10 ซม.          จำนวน100ตร.ม.ปูพื้นกระเบื้องขนาด 12"*12" จำนวน100ตร.ม.'
'ขอนแก่น';'น้ำพอง';'บัวเงิน';'183386';'179000';'บ้านหนองแวงท่าวัด';'น้ำท่วมอาคารอเนกประสงค์ เสียหาย ';'1 หลัง  1 แห่ง';'ปรับปรุงซ่อมแซมอาคารอเนกประสงค์แบบ  สปช.205/26 งานพื้นงานพื้น- เทพื้นคอนกรีตเสริมเหล็ก รอบอาคาร143ตรม.  หนา 10 ซม. กว้าง 1.5 ม. ยาว 95 ม.งานฝาผนัง- ขูดลอกปูนเดิม95ตรม.- ฉาบปูนใหม่95ตรม.- ทาสีพลาสติกอครีลิค(กึ่งเงา)95ตรม.'
'ขอนแก่น';'ภูเวียง';'หนองกุงธนสาร';'102450';'100000';'บ้านหันศิลางาม';'น้ำท่วมโรงเรียน ภูมิทัศน์  เสียหาย ';'1 แห่ง';'ปรับปรุงซ่อมแซมภูมิทัศน์ งานพื้น ถมดินสูง 40  ซม.    จำนวน  310ลบ.ม.'
'ขอนแก่น';'พล';'โนนข่า';'102450';'100000';'บ้านโนนข่าวิทยา';'น้ำท่วมถนน ภูมิทัศน์โรงเรียน เสียหาย ';'1 แห่ง';'ปรับปรุงซ่อมแซมภูมิทัศน์ งานถนน  ถนน ค.ส.ล. ความหนา 12 ซม. กว้าง 5 เมตร ยาว245 ตร.ม.ยาว 49 ม. เสริมเหล็กตะแรง  6 มม'
'ขอนแก่น';'แวงใหญ่';'ใหม่นาเพียง';'102450';'100000';'บ้านใหม่นาเพียง';'น้ำท่วมพื้นอาคารเรียนเสียหาย ';'1 หลัง';'ปรับปรุงซ่อมแซมอาคารเรียนแบบ สปช.102/26 งานปูกระเบื้อง ปูกระเบื้องเคลือบขนาด 12*12 จำนวน 198 ตร.ม.'
'ขอนแก่น';'แวงใหญ่';'โนนทอง';'102450';'100000';'บ้านโนนข่าวิทยา';'น้ำท่วมถนน ภูมิทัศน์โรงเรียน เสียหาย ';'1 แห่ง';'ปรับปรุงซ่อมแซมภูมิทัศน์ งานถนน  ถนน ค.ส.ล. ความหนา 12 ซม. กว้าง 5 เมตร ยาว245 ตร.ม.ยาว 49 ม. เสริมเหล็กตะแรง  6 มม'
'ขอนแก่น';'แวงใหญ่';'โนนสะอาด';'102450';'100000';'บ้านกุดหมากเห็บ';'น้ำท่วมพื้นอาคารเรียนเสียหาย ';'1 หลัง';'ปรับปรุงซ่อมแซมอาคารเรียนแบบ ป 1 ฉ งานพื้น  ปูพื้นกระเบื้องเคลือบระเบียงหน้าอาคารขนาด 12*12 จำนวน200 ตร.ม'
'ขอนแก่น';'แวงน้อย';'ท่านางแนว';'102450';'100000';'บ้านโนนเขวาประชาศึกษา';'น้ำท่วมโรงเรียน ถนน ภูมิทัศน์ เสียหาย ';'1 แห่ง';'ปรับปรุงซ่อมแซมภูมิทัศน์ งานถนน  ถนน ค.ส.ล. ความหนา 12 ซม. กว้าง 4 เมตร ยาว244 ตร.ม.ยาว 61 ม. เสริมเหล็กตะแรง  6 มม.'
'ขอนแก่น';'แวงน้อย';'ท่านางแนว';'102450';'100000';'บ้านท่านางแนว';'น้ำท่วมโรงเรียน ร่องระบายน้ำ ภูมิทัศน์ เสียหาย ';'1 แห่ง';'ปรับปรุงซ่อมแซมภูมิทัศน์ งานร่องระบายน้ำขนาด ยาว 50 ม. กว้าง จำนวน50ม. 20 ซม. สูง 20 ซม.  ถมดิน จำนวน  100 ตร.ม.   จำนวน50ลบ.ม.'
'ขอนแก่น';'แวงน้อย';'ท่าวัด';'183386';'179000';'บ้านหนองแวงท่าวัด';'น้ำท่วมอาคารอเนกประสงค์ เสียหาย ';'1 หลัง  1 แห่ง';'ปรับปรุงซ่อมแซมอาคารอเนกประสงค์แบบ  สปช.205/26 งานพื้นงานพื้น- เทพื้นคอนกรีตเสริมเหล็ก รอบอาคาร143ตรม.  หนา 10 ซม. กว้าง 1.5 ม. ยาว 95 ม.งานฝาผนัง- ขูดลอกปูนเดิม95ตรม.- ฉาบปูนใหม่95ตรม.- ทาสีพลาสติกอครีลิค(กึ่งเงา)95ตรม.'
'ขอนแก่น';'เมืองขอนแก่น';'ดอนหัน';'102450';'100000';'บ้านโนนเขวาประชาศึกษา';'น้ำท่วมโรงเรียน ถนน ภูมิทัศน์ เสียหาย ';'1 แห่ง';'ปรับปรุงซ่อมแซมภูมิทัศน์ งานถนน  ถนน ค.ส.ล. ความหนา 12 ซม. กว้าง 4 เมตร ยาว244 ตร.ม.ยาว 61 ม. เสริมเหล็กตะแรง  6 มม.'
'ขอนแก่น';'หนองเรือ';'โนนทอง';'102450';'100000';'บ้านโนนทองวิทยา';'น้ำท่วมโรงเรียน พื้นอาคารเรียน เสียหาย ';'1 หลัง  1 แห่ง';'ปรับปรุงซ่อมแซมอาคารเรียนแบบ สปช.105/29 งานพื้น เทพื้น ค.ศ.ล. ความหนา 10 ซม.325ตร.ม.กว้าง 10 ม. ยาว 32 ม. เสริมเหล็กตะแกรงสำเร็จรูป'
'ขอนแก่น';'สีชมพู';'หนองแดง';'102450';'100000';'บ้านหนองแดง';'น้ำท่วม พื้นอาคารเรียน เสียหาย ';'1 หลัง';'ปรับปรุงซ่อมแซมอาคารเรียนแบบ สปช.105/29 งานปูกระเบื้อง ปูกระเบื้องเคลือบขนาด 12*12  จำนวน225ตร.ม.'
'ขอนแก่น';'แวงใหญ่';'คอนฉิม';'102450';'100000';'บ้านโนนใหญ่';'น้ำท่วมโรงเรียน ถนน ห้องน้ำ-ส้วม เสียหาย ';'1 หลัง';'พื้นถนนในโรงเรียนและห้องน้ำอนุบาลปูกระเบื้องเคลือบ  ขนาด 12 " x  12"จำนวน198ตร.ม.'
'ขอนแก่น';'แวงใหญ่';'ใหม่นาเพียง';'102450';'100000';'บ้านหนองแดง';'น้ำท่วม พื้นอาคารเรียน เสียหาย ';'1 หลัง';'ปรับปรุงซ่อมแซมอาคารเรียนแบบ สปช.105/29 งานปูกระเบื้อง ปูกระเบื้องเคลือบขนาด 12*12  จำนวน225ตร.ม.'
'ขอนแก่น';'แวงน้อย';'ละหานนา';'102450';'100000';'บ้านห้วยทรายทุ่งมน';'น้ำท่วมโรงเรียน พื้นอาคารเรียน เสียหาย ';'1 แห่ง';'ปรับปรุงอาคารเรียน งานพื้น เทพื้น ค.ศ.ล. ความหนา 10 ซม.   325ตร.ม.กว้าง 10 ม. ยาว 32 ม. เสริมเหล็กตะแกรง สำเร็จรูป'
'ขอนแก่น';'ชนบท';'วังแสง';'102450';'100000';'บ้านโนนข่าวิทยา';'น้ำท่วมถนน ภูมิทัศน์โรงเรียน เสียหาย ';'1 แห่ง';'ปรับปรุงซ่อมแซมภูมิทัศน์ งานถนน  ถนน ค.ส.ล. ความหนา 12 ซม. กว้าง 5 เมตร ยาว245 ตร.ม.ยาว 49 ม. เสริมเหล็กตะแรง  6 มม'
'ขอนแก่น';'พระยืน';'บ้านโต้น';'102450';'100000';'บ้านโจดใหญ่';'น้ำท่วมโรงเรียน อาคารเรียนพื้น เสียหาย ';'1 หลัง';'ปรับปรุงซ่อมแซมอาคารเรียนแบบ สปช.102/26 งานปูกระเบื้อง ปูกระเบื้องเคลือบขนาด 12*12 198ตร.ม.'
'ขอนแก่น';'หนองเรือ';'กุดกว้าง';'102450';'100000';'บ้านกุดกว้าง';'น้ำท่วมโรงเรียน อาคารเรียน  เสียหาย ';'1 หลัง';'เปลี่ยนบานประตู ทาสีอาคารเรียน'
'ขอนแก่น';'น้ำพอง';'วังชัย';'327840';'320000';'บ้านวังเกิ้ง';'น้ำท่วมโรงเรียน อาคารเรียน  เสียหาย ';'1 หลัง';'เทพื้นคอนกรีต  ปูพื้นกระเบื้อง  ทาสีอาคารเรียน'
'ขอนแก่น';'แวงใหญ่';'ใหม่นาเพียง';'102450';'100000';'บ้านโนนจันทึก';'น้ำท่วมโรงเรียน อาคารอเนกประสงค์ เสียหาย ';'1 หลัง  1 แห่ง';'ปรับปรุงซ่อมแซมอาคารเรียนเอนกประสงค์ 312 งานเทพื้น ถมดิน  กว้าง 9 ม. ยาว 19 ม. สูง 0.3 ม. จำนวน51ลบ.ม.เทพื้น ค.ศ.ล. ความหนา 10 ซม. 20ตร.ม.กว้าง 10 ม. ยาว 20 ม. เสริมเหล็กตะแกรง สำเร็จรูป ปูกระเบื้องเคลือบ 12*12  บริเวณเคาว์เตอร์140ตร.ม. จ่ายอาหาร ทาสีน้ำพลาสติก  จำนวน 100 ตร.ม.'
'ขอนแก่น';'แวงใหญ่';'ใหม่นาเพียง';'102450';'100000';'บ้านโจดใหญ่';'น้ำท่วมโรงเรียน อาคารเรียนพื้น เสียหาย ';'1 หลัง';'ปรับปรุงซ่อมแซมอาคารเรียนแบบ สปช.102/26 งานปูกระเบื้อง ปูกระเบื้องเคลือบขนาด 12*12 198ตร.ม.'
'ขอนแก่น';'แวงใหญ่';'ใหม่นาเพียง';'102450';'100000';'บ้านถลุงเหล็ก';'น้ำท่วมโรงเรียน พื้นอาคารเรียน เสียหาย ';'1 หลัง';'ปรับปรุงซ่อมแซมอาคารเรียนแบบ สปช.105/29 งานปูกระเบื้อง ปูกระเบื้องเคลือบขนาด 12*12  จำนวน225ตร.ม.'
'ขอนแก่น';'แวงใหญ่';'โนนทอง';'102450';'100000';'บ้านโนนทองวิทยา';'น้ำท่วมโรงเรียน พื้นอาคารเรียน เสียหาย ';'1 หลัง  1 แห่ง';'ปรับปรุงซ่อมแซมอาคารเรียนแบบ สปช.105/29 งานพื้น เทพื้น ค.ศ.ล. ความหนา 10 ซม.325ตร.ม.กว้าง 10 ม. ยาว 32 ม. เสริมเหล็กตะแกรงสำเร็จรูป'
'ขอนแก่น';'แวงใหญ่';'โนนทอง';'97328';'95000';'บ้านรัตนะ';'น้ำท่วมโรงเรียน พื้นอาคารเรียน เสียหาย ';'1 หลัง  1 แห่ง';'ปรับปรุงซ่อมแซมอาคารเรียนแบบ ป. 1 ฉ งานพื้น เทพื้น ค.ศ.ล. ความหนา 10 ซม.300ตร.มกว้าง 10 ม. ยาว 20 ม. เสริมเหล็กตะแกรงสำเร็จรูป'
