'level1';'level2';'level3';'filter0';'filter1';'Data[0]';'Data[1]';'Data[2]';'Data[3]'
'ฉะเชิงเทรา';'ราชสาส์น';'ดงน้อย';'572388';'558700';'วัดหินดาษ';'น้ำท่วมโรงเรียน สนามกีฬา ถนน รางระบายน้ำ  เสียหาย ';'1 หลัง  1 แห่ง';'1. งานถมดินปรับพื้นที่ สนามกีฬาเอนกประสงค์ ขนาด 30x60 ม.2. งานเทพื้น คสล. ลานเอนกประสงค์ ขนาด 20 x 30 x 0.10 ม.3. งานถนน คสล. ขนาด  4x160x0.10 ม.  4. จัดทำรางระบายน้ำ (ค.ส.ล.)  แบบรางวี '
'ฉะเชิงเทรา';'เมืองฉะเชิงเทรา';'บางตีนเป็ด';'143430';'140000';'วัดดอนทอง';'น้ำท่วมโรงเรียน ถนน สนาม รางระบายน้ำ  เสียหาย ';'1 แห่ง';'1. งานถนน ค.ส.ล.  2. งานปรับปรุงบริเวณถมดิน 3. งานรางระบายน้ำ ค.ส.ล. (แบบรางวี) พร้อมบ่อพัก'
'ฉะเชิงเทรา';'ราชสาส์น';'เมืองใหม่';'345769';'337500';'วัดแสนภุมราวาส';'น้ำท่วมโรงเรียน อาคารเรียน สนามกีฬา  เสียหาย ';'1 หลัง  1 แห่ง';'ปรับปรุงซ่อมแซมสนามกีฬาและลานออกกำลังกาย ซ่อมแซมเสาตอม่ออาคารเรียน'
'นครนายก';'เมืองนครนายก';'บ้านใหญ่';'542780';'529800';'โรงเรียนวัดวังไทร';'อาคารเรียน อาคารประกอบ ส้วม และสนามเสียหายจากเหตุการณ์น้ำท่วม';'1 หลัง';'ซ่อมโรงอาหาร ซ่อมสนามวอลเลย์ ซ่อมส้วม สร้างรางระบายน้ำ  ซ่อมพื้น,หลังคา ฝ้าเพดานอาคารเรียน  '
'นครนายก';'เมืองนครนายก';'วังกระโจม';'291573';'284600';'ชุมชนบ้านคลองเหมือง';'น้ำท่วมอาคารเรียนและเรือนเพาะชำเสียหาย';'1 หลัง';'ปรับปรุงซ่อมแซม 1.ปรับปรุงซ่อมแซมอาคารเรียนแบบป.1 ข.เปลี่ยนเสา   หลังคา   ฝาผนัง   ฝ้า 2.เรือนเพาะชำ เสา  พื้น  ต้นไม้'
'นครนายก';'เมืองนครนายก';'ดอนยอ';'58294';'56900';'วัดดอนยอ';'น้ำท่วมอาคารอเนกประสงค์และส้วมชำรุด';'1 หลัง';'ส้วม แบบ 601/26-ประตู วงกบ อาคารอเนกประสงค์แบบ สปช.203/26  -ประตูเหล็กพร้อมแผงบังตา อาคารเรียนแบบ ป.1 ข -ประตู  วงกบ'
'นครนายก';'เมืองนครนายก';'ดงละคร';'54299';'53000';'วัดใหม่บำเพ็ญผล';'น้ำท่วมอาคารเรียนเสียหาย';'1 หลัง';'ปรับปรุงซ่อมแซมพื้นอาคารเรียน ป.1ข ใต้ถุนเตี้ย'
'นครนายก';'ปากพลี';'ท่าเรือ';'530691';'518000';'วัดลำบัวลอย';'ถนนและอาคารอเนกประสงค์เสียหายจากน้ำท่วม';'1 หลัง  1 แห่ง';'ถนนภายในโรงเรียน อาคารเอนกประสงค์ แบบ สปช. 202/26'
'นครนายก';'ปากพลี';'ท่าเรือ';'223546';'218200';'วัดแขมโค้ง';'ถนน  สนามวอลเลย์ และห้องส้วมถุกน้ำท่วมเสียหาย';'1 หลัง  1 แห่ง';'ปรับปรุงซ่อมแซมถนนทางเดิน สนามวอลเลย์ ห้องส้วม'
'นครนายก';'เมืองนครนายก';'พรหมณี';'401194';'391600';'วัดเอี่ยมประดิษฐ์';'น้ำท่วม สนามกีฬา และอาคารเรียนต่างๆ เสียหาย';'1 หลัง  1 แห่ง';'อาคารเรียน ป.1ข –  พื้นใต้ถุนอาคารขนาด 2.5มx 24.ม.ถมทรายหนา0.20ม.เทคอนกรีตหนา 0.15 ม. – ทาสีฝาด้านนอกอาคารเรียนทั้งหมด พื้นที่ 11มx 24 ม. สนามกีฬา – ทำรางระบายน้ำคอนกรีตเสริมเหล็ก ลานกีฬาเอนกประสงค์ – เทคอนกรีตเสริมเหล็ก'
'นครนายก';'ปากพลี';'ท่าเรือ';'276922';'270300';'วัดเกาะกา';'น้ำท่วมอาคาร สนามกีฬาและ ห้องส้วมเสียหาย';'1 แห่ง';'ปรับปรุงซ่อมแซม 1.ถนนคอนกรีตทางเดิน 2.สนามวอลเลย์วอล พื้นคอนกรีต 3.ห้องส้วม - พื้นปูกระเบื้อง 4.ลานอเนกประสงค์ พื้นคอนกรีต 5.สนามเด็กเล่น ทรายถม 6.สนามเปตอง  หินคลุก'
'นครนายก';'บ้านนา';'บ้านนา';'64544';'63000';'วัดทองจรรยา';'น้ำท่วมอาคารชำรุด';'1 หลัง';'ซ่อมแซมอาคารเรียน'
'นครนายก';'บ้านนา';'บ้านนา';'209715';'204700';'วัดทองย้อย(วุฒิกรประชานุกูล)';'รั้วคอนกรีตพัง ดินริมคลองทรุดตัว น้ำท่วมเสียหาย';'1 หลัง  1 แห่ง';'ปรับปรุงซ่อมแซม 1.รั้วคอนกรีต  ริมคลองบ้านนา 2.ถมดินริมคลอง 3.ดูดส้วม 4.ประตูห้องวิทย์ 5.ทาสีอาคารเรียน'
'นครนายก';'บ้านนา';'บ้านพริก';'101630';'99200';'วัดหนองคันจาม';'น้ำท่วมอาคารเรียน ถนน ชำรุดเสียหาย';'1 หลัง';'ปรับปรุงซ่อมแซม 1.อาคารเรียนแบบป.1ข (ชั้นล่าง ห้องพลศึกษา ห้องดนตรี) 2.ถนนหน้าอาคารเรียน สปช.105/29'
'นครนายก';'บ้านนา';'ทองหลาง';'101733';'99300';'บ้านคลอง 30';'อาคารเรียน อาคารประกอบ และ ถนน ถูกน้ำท่วมเสียหาย';'1 หลัง';'ปรับปรุงซ่อมแซม 1.เปลี่ยนบานประตูไม้อาคารเรียนแบบ สปช.105/29 2.เปลี่ยนบานประตูไม้ ส้วม แบบ สปช.601/26 3.ปรับปรุงซ่อมแซมถนนหน้าอาคาร อเนกประสงค์ 4.ปรับปรุงซ่อมแซมลานอเนกประสงค์'
'นครนายก';'บ้านนา';'ป่าขะ';'808433';'789100';'ชุมชนวัดป่าขะ';'สนามฟุตบอลและพื้นชำรุดเนื่องจากน้ำท่วม';'1 หลัง  1 แห่ง';'ปรับปรุงซ่อมแซม สนามฟุตบอล ปรับพื้น อาคารสามัญ 004 คอนกรีตพื้นอาคารเรียน พื้นปูกระเบื้อง พื้นถนนลูกรังภายในบริเวณโรงเรียน'
'นครนายก';'บ้านนา';'เขาเพิ่ม';'1412376';'1378600';'บ้านเขาส่องกล้อง';'เขื่อนชำรุดเนื่องจากน้ำท่วม';'1 แห่ง';'ปรับปรุงซ่อมแซมเขื่อนป้องกันน้ำท่วม ระยะทาง 150  เมตร'
'นครนายก';'องครักษ์';'บางสมบูรณ์';'70178';'68500';'บ้านเตยใหญ่';'อาคารเรียน ถนนคอนกรีตชำรุดน้ำท่วม';'1 หลัง  1 แห่ง';'ปรับปรุงซ่อมแซมซ่อมแซม อาคาร สปช. 105/26 ปรับปรุงภูมิทัศน์ ถนนคอนกรีต'
'นครนายก';'องครักษ์';'คลองใหญ่';'115154';'112400';'ชุมชนวัดอำภาศิริวงศ์ มิตรภาพที่ 162';'อาคารเรียน พื้นกระเบื้อง ประตูชำรุดเนื่องจากน้ำท่วม';'1 หลัง  1 แห่ง';'ปรับปรุงซ่อมแซมซ่อมแซม พื้น คสล.ขนาด กว้าง  9 X 4 ม. ปูพื้นกระเบื้องเคลือบขนาด กว้าง  9 X 4 ม.ฝาผนังขนาด กว้าง  25 X 4 ม. เปลี่ยนประตู อาคารเรียนแบบ  ป1 ข พื้น คสล.3  ห้องเรียน  ขนาด  9 X 9 ม.ปูพื้นกระเบื้องเคลือบขนาด กว้าง  30 X 11 ม'
'นครนายก';'ปากพลี';'ปากพลี';'737230';'719600';'วัดโพธิ์แทน';'สนามกีฬาเสียหายเพราะน้ำท่วม';'1 แห่ง';'พื้นคอนกรีตสนามบาสเก็ตบอล สนามวอลเลย์บอล และสนามเด็กเล่น'
'นครนายก';'องครักษ์';'บึงศาล';'567983';'554400';'บ้านดอนกลาง(กิดารีศึกษาคาร)';'น้ำท่วม อาคารเรียน อาคารประกอบชำรุดเสียหาย';'1 หลัง';'อาคารเรียนแบบสปช.105/29 เปลี่ยนประตูห้องเรียน เปลี่ยนประตูห้องน้ำ ทาสีอาคาร ห้องสมุด '
'นครนายก';'องครักษ์';'โพธิ์แทน';'737230';'719600';'วัดโพธิ์แทน';'สนามกีฬาเสียหายเพราะน้ำท่วม';'1 แห่ง';'พื้นคอนกรีตสนามบาสเก็ตบอล สนามวอลเลย์บอล และสนามเด็กเล่น'
'นครนายก';'องครักษ์';'บางสมบูรณ์';'127448';'124400';'วัดปากคลองพระอาจารย์';'อาคารเรียน อาคารประกอบและบริเวณโดยรอบถูกน้ำท่วมเสียหาย';'1 หลัง  1 แห่ง';'ปรับปรุงซ่อมแซมซ่อมแซม 1.ทาสีอาคารเอนกประสงค์ 2.อาคารปฐมวัย ทาสี เปลี่ยนฝ้า ประตู 3.ทาสีโรงอาหาร 4.บ้านพักครู  ทาสี เปลี่ยนประตู 5.สนามเด็กเล่น ทาสี 6.ห้องน้ำ เปลี่ยนประตู ทาสี 7.บริเวณโรงเรียน ถมดิน เทคอนกรีต'
'นครนายก';'องครักษ์';'บางปลากด';'259813';'253600';'วัดประสิทธิเวช';'น้ำท่วมบ้านพักครู ห้องสมุด ศาลาริมน้ำ และ สนามบาส';'1 หลัง  1 แห่ง';'ซ่อมแซมสนามบาส (แบบ FIBAขนาด 16.5 X 31 ม.) ศาลาที่พักริมน้ำ   (ขนาดกว้าง 4.00 เมตร ยาว 5 เมตร) บ้านพักครู ปรับปรุงซ่อมแซมห้องสมุด'
'นครนายก';'องครักษ์';'บางปลากด';'1065685';'1040200';'วัดสันติธรรมราษฎร์บำรุง';'บ้านพักครู อาคารประกอบและลานกีฬาอเนกประสงค์ถูกน้ำท่วมเสียหาย';'1 หลัง';'ปรับปรุงซ่อมแซม อาคารอเนกประสงค์ บ้านพักครูและห้องส้วม (บ้านพักครู) ถนน ขนาด 4x263x0.15 ม. ส้วม ขนาด 2x10x0.15 ลานกีฬาอเนกประสงค์'
'นครนายก';'องครักษ์';'บางลูกเสือ';'725756';'708400';'วัดใหม่พงษ์โสภณ';'อาคารเรียน อาคารประกอบ ถนน คสล. ส้วมบ้านพัก ลานกีฬา ถูกน้ำท่วมเสียหาย';'1 หลัง  1 แห่ง';'1.อาคารเรียนแบบป.1 ข.  - เปลี่ยนเสา คสล.แบบสปช. 41  ขนาด 8 นิ้ว*8 นิ้ว*3 ม.จำนวน 25 ต้น 2.อาคารอเนกประสงค์สปช. 202  - พื้น คสล. หนา 15 ซ.ม  - หลังคา 3.ลานกีฬาอเนกประสงค์  - ถมดิน  - ปลูกหญ้าญี่ปุ่น 4.ส้วม  5.บ้านพักครู - ประตู  พื้น  ทาสี.'
'นครนายก';'องครักษ์';'บางลูกเสือ';'995814';'972000';' วัดบางนางเล็ก';'อาคารเรียน อาคารประกอบ ชำรุดเนื่องจากน้ำท่วม';'1 หลัง';' - อาคารแบบ ป 1 ข  ขนาด   3 ห้องเรียน   ต่อเติม ป. 1 ข    1 ห้องเรียน ใต้ถุนสูง ต่อเติมห้อง    ใต้ถุน  3 ห้องเรียน -  อาคารแบบ สปช. 101/2526   ขนาด  3  ห้องเรียน  ใต้ถุนต่ำ - อาคารอเนกประสงค์  สปช. 202/26 - ถนนคอนกรีตเสริมเหล็ก '
'นครนายก';'องครักษ์';'องครักษ์';'265755';'259400';'อนุบาลองครักษ์';'ทางเชื่อมระหว่างอาคารเสียหายจากเหตุการณ์น้ำท่วม';'1 แห่ง';'ทางเดินเชื่อมระหว่างอาคาร (อาคาร 105/29-อาคารดนตรี นาฏศิลป์) ทางเดินเชื่อมระหว่างอาคาร (อาคารา 105/29-หน้าประตู โรงเรียน) ทางเดินเชื่อมระหว่างอาคาร (อาคาร 105/29-อาคาร 2/28)'
'นครนายก';'องครักษ์';'ชุมพล';'730366';'712900';'บ้านชุมพล(อ้นอารีศึกษาคาร)';'โรงอาหาร สนามกีฬา และส้วมชำรุดจากน้ำท่วม';'1 หลัง  1 แห่ง';'1.สนามวอลเลย์บอล 2.สนามฟุตบอลขนาด 50 x 80 ม. 3.สนามบาสเก็ตบอล 4.ส้วมนักเรียนขนาด 4 ที่ 5.โรงอาหาร'
'นครนายก';'องครักษ์';'พระอาจารย์';'117818';'115000';'บ้านช่องตะเคียน';'บ้านพักครูและห้องน้ำเสียหายน้ำท่วม';'1 หลัง';'ซ่อมบ้านพักครู  2  หลัง   พื้น  ประตู  ห้องน้ำ  '
'นครนายก';'องครักษ์';'พระอาจารย์';'573720';'560000';'วัดสุนทรพิชิตาราม';'ถนนคอนกรีต และทางเท้าน้ำท่วมเสียหาย';'1 หลัง  1 แห่ง';'ถนนคอนกรีตเสริมเหล็ก ทางเท้าขนาดขนาดกว้าง  1.30 ม. พื้นอาคารเรียน ค.ส.ล.'
'นครนายก';'องครักษ์';'พระอาจารย์';'68129';'66500';'บ้านคลองหกวา';'อาคารเรียน ชำรุดเสียหายน้ำท่วม';'1 หลัง';'อาคารเรียน ป. 1 ข บานประตูไม้อัดสักชนิดภายนอก ขนาด 1.80 ม. × 80 ม. บานประตูไม้อัดสักชนิดภายนอก ขนาด 2 ม. × 80 ม.เปลี่ยนกระเบื้องปูพื้น ขนาด 12 นิ้ว × 12 นิ้ว'
'นครนายก';'องครักษ์';'ศีรษะกระบือ';'145479';'142000';'วัดราษฎร์ประดิษฐ์';'อาคารและพื้นกระเบื้องเสียหายน้ำท่วม';'1 หลัง';'พื้นผิวกระเบื้องเรียบ ทาสีอาคารเรียน'
'นครนายก';'องครักษ์';'ทรายมูล';'1859365';'1814900';'วัดทวีพูลรังสรรค์';'อาคารประกอบ รั้วต่างๆ ส้วม เสียหายน้ำท่วม';'1 หลัง  1 แห่ง';'ปรับปรุงซ่อมแซม 1.โรงอาหาร-ทาสี  เปลี่ยนประตู 2.บ้านพักภารโรง  - เปลี่ยนประตู 3.รั้วคอนกรีต - ทาสี 4.อาคาร ป.1ข  6.รั้วบล๊อคคอนกรีต 7.รางระบายน้ำ คสล.ฝาปิดเหล็ก 8.ถนนคอนกรีต 9.ปรับปรุงห้องส้วมแบบ สปช.601/26  -เปลี่ยนประตู  วงกบ กลอน  มือจับบานพับ 10.'
'นครนายก';'องครักษ์';'ทรายมูล';'267395';'261000';'บ้านคลอง 1';'บ้านพัก อาคารเรียน อาคารประกอบ บริเวณโดยรอบเสียหายจากเหตุการณ์น้ำท่วม';'1 หลัง  1 แห่ง';'บ้านพักนักการภารโรง 1. ถมดิน 2. ซ่อมประตูเปลี่ยนฝาผนัง 3. เปลี่ยนโถส้วม 4. เพิ่มถังซีเมนต์สำเร็จรูป อาคารเอนกประสงค์ อาคารอนุบาลและสนามเด็กเล่น 1. ปรับสภาพพื้นที่ 2. ทำแนวกันน้ำ 3. เปลี่ยนโถส้วม 4. เพิ่มถังซีเมนต์สำเร็จรูป  '
'นครนายก';'องครักษ์';'ชุมพล';'216272';'211100';'บ้านทำนบ(เลิศสินอนุสรณ์)';'อาคาร พื้นทางเท้าชำรุดน้ำท่วม';'1 หลัง  1 แห่ง';'ปรับปรุงซ่อมแซม 1.พื้นทางเท้า 2.ห้องสมุด-กลอน บานพับ มือจับ ทาสี 3.พื้นอาคารเรียน 4.พื้นลูกรัง'
'นครนายก';'องครักษ์';'คลองใหญ่';'141996';'138600';'บ้านคลองใหญ่';'น้ำท่วมอาคารเรียน พื้นคอนกรีต เสียหาย';'1 หลัง  1 แห่ง';'ปรับปรุงซ่อมแซมพื้นคอนกรีต  และ พื้นปูกระเบื้องเคลือบ อาคารเรียน และบริเวณรอบๆ'
'นครสวรรค์';'เมืองนครสวรรค์';'เกรียงไกร';'510611';'498400';'วัดชุมนุมสงฆ์(มงคลประชานุกูล)';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล. ';'3 หลัง';'งานพื้น งานทาสี,งานสุขสุขภัณฑ์'
'นครสวรรค์';'เมืองนครสวรรค์';'เกรียงไกร';'1343120';'1311000';'วัดเกรียงไกร(โพธิ์ประสิทธิ์)';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล. ';'3 หลัง';'งานประตูหน้าต่าง,งานทาสี,งานพื้น,'
'นครสวรรค์';'เมืองนครสวรรค์';'ปากน้ำโพ';'1229093';'1199700';'อนุบาลนครสวรรค์';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล. ';'3 หลัง';'งานพื้น,งานผนัง,งานประตู'
'นครสวรรค์';'เมืองนครสวรรค์';'กลางแดด';'432441';'422100';'วัดกลางแดด';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล. ส้วม';'3 หลัง';'งานพื้น,งานทาสี'
'นครสวรรค์';'เมืองนครสวรรค์';'เกรียงไกร';'1277961';'1247400';'วัดเกรียงไกรเหนือ';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล. ';'3 หลัง';'งานประตูหน้าต่าง,งานทาสี,งานพื้น'
'นครสวรรค์';'เมืองนครสวรรค์';'ตะเคียนเลื่อน';'1004420';'980400';'วัดวังยาง';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล.  รางระบายน้ำ';'3 หลัง';'งานประตู,งานพื้น,งานทาสี,รางระบายน้ำ'
'นครสวรรค์';'เมืองนครสวรรค์';'นครสวรรค์ตก';'1229093';'1199700';'อนุบาลนครสวรรค์';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล. ';'3 หลัง';'งานพื้น,งานผนัง,งานประตู'
'นครสวรรค์';'เมืองนครสวรรค์';'นครสวรรค์ออก';'964874';'941800';'วัดศรีสวรรค์สังฆาราม';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล.  ถนน';'3 หลัง';'งานประตูหน้าต่าง,งานพื้น,งานทาสี,งานถนน,'
'นครสวรรค์';'เมืองนครสวรรค์';'บางพระหลวง';'804540';'785300';'วัดท่าล้อ';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล.  ส้วม';'3 หลัง';'งานพื้น,งานทาสี,งานประตูหน้าต่าง,งานสุขภัณฑ์'
'นครสวรรค์';'เมืองนครสวรรค์';'บางพระหลวง';'1150514';'1123000';'วัดหัวถนน';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล. ';'3 หลัง';'งานพื้น,งานทาสี,งานประตูหน้าต่าง,'
'นครสวรรค์';'เมืองนครสวรรค์';'บางม่วง';'893159';'871800';'บ้านคุ้งวารี';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล.  ส้วม';'3 หลัง';'งานพื้น,งานประตูหน้าต่าง,งานทาสี,งานสุขภัณฑ์'
'นครสวรรค์';'เมืองนครสวรรค์';'บางม่วง';'387056';'377800';'วัดนิเวศวุฒาราม';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล. ';'3 หลัง';'งานทาสี,งานประตู,งานพื้น'
'นครสวรรค์';'เมืองนครสวรรค์';'ตะเคียนเลื่อน';'550464';'537300';'วัดตะเคียนเลื่อน(รังสีวุฒากาสอุปถัมภ์)';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล. ';'3 หลัง';'งานประตูหน้าต่าง,งานพื้น,งานสี'
'นครสวรรค์';'เมืองนครสวรรค์';'นครสวรรค์ตก';'243216';'237400';'วัดวังไผ่';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล. ';'3 หลัง';'งานพื้น,งานประตูหน้าต่าง,งานผนัง,งานทาสี'
'นครสวรรค์';'เมืองนครสวรรค์';'นครสวรรค์ตก';'267395';'261000';'วัดท่าทอง';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล. ';'3 หลัง';'งานพื้น,งานทาสี,วางท่อระบายน้ำ'
'นครสวรรค์';'เมืองนครสวรรค์';'บางม่วง';'475675';'464300';'วัดยางงาม(ประชาพัฒนา)';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล.  ถนน';'3 หลัง';'งานพื้น,งานทาสี,งานถนน,'
'นครสวรรค์';'เมืองนครสวรรค์';'บ้านมะเกลือ';'770219';'751800';'วัดบ้านมะเกลือ';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล. ';'4 หลัง';'งานพื้น,งานทาสี,งานประตูหน้าต่าง'
'นครสวรรค์';'เมืองนครสวรรค์';'พระนอน';'352530';'344100';'วัดหัวดง';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล. ';'3 หลัง';'งานประตู,งานทาสี,งานพื้น'
'นครสวรรค์';'เมืองนครสวรรค์';'วัดไทร';'296490';'289400';'วัดบางม่วง';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล.  ถนน';'3 หลัง';'งานผิวจราจร'
'นครสวรรค์';'เมืองนครสวรรค์';'บึงเสนาท';'644615';'629200';'วัดคลองคาง(แดงประชานุกูล)';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล.  ส้วม';'3 หลัง';'งานประตูหน้าต่าง,งานทาสี,งานสุขภัณฑ์'
'นครสวรรค์';'โกรกพระ';'โกรกพระ';'1242411';'1212700';'อนุบาลโกรกพระ';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล. ';'5 หลัง';'งานทาสี,งานสุขภัณฑ์,งานพื้น,งานประตู'
'นครสวรรค์';'หนองบัว';'ห้วยใหญ่';'535609';'522800';'บ้านสระงาม';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล.  รางระบายร้ำ';'3 หลัง';'งานพื้นถนน,ท่อระบายน้ำ'
'นครสวรรค์';'เมืองนครสวรรค์';'บ้านมะเกลือ';'424143';'414000';'วัดบึงน้ำใส';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล. ';'3 หลัง';'งานทาสี,งานพื้น'
'นครสวรรค์';'เมืองนครสวรรค์';'วัดไทร';'315648';'308100';'วัดหาดทรายงาม';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล. ';'3 หลัง';'งานทาสี,งานพื้น'
'นครสวรรค์';'เมืองนครสวรรค์';'หนองกรด';'662134';'646300';'วัดดอนใหญ่';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล. ';'3 หลัง';'งานทาสี,งานประตู,งานพื้น'
'นครสวรรค์';'เมืองนครสวรรค์';'บึงเสนาท';'640108';'624800';'ศิริราษฎร์สามัคคี';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล. ';'3 หลัง';'งานพื้น,งานผนัง,งานทาสี,งานประตู'
'นครสวรรค์';'โกรกพระ';'ยางตาล';'1803120';'1760000';'ชุมชนวัดบ้านหว้าประชาประสาทวิทย์';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล. ';'3 หลัง';'งานพื้น,งานประตู,งานทาสี,ถนน'
'นครสวรรค์';'โกรกพระ';'บางมะฝ่อ';'1242411';'1212700';'อนุบาลโกรกพระ';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล. ';'5 หลัง';'งานทาสี,งานสุขภัณฑ์,งานพื้น,งานประตู'
'นครสวรรค์';'โกรกพระ';'บางมะฝ่อ';'237889';'232200';'วัดบางมะฝ่อ';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล. ';'3 หลัง';'งานพื้น,งานผนัง,งานทาสี'
'นครสวรรค์';'โกรกพระ';'บางมะฝ่อ';'343208';'335000';'บ้านบางมะฝ่อ';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล. ';'3 หลัง';'งานประตู,งานทาสี,งานพื้น,'
'นครสวรรค์';'โกรกพระ';'บางมะฝ่อ';'573720';'560000';'บ้านเนินเวียง';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล.  ส้วม';'3 หลัง';'งานพื้น,งานถนน,งานทาสี,งานพื้น,งานสุขภัณฑ์'
'นครสวรรค์';'ชุมแสง';'เกยไชย';'755876';'737800';'วัดท่านา';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล. ';'3 หลัง';'งานพื้น,งานทาสี,งานประตู'
'นครสวรรค์';'โกรกพระ';'ยางตาล';'390232';'380900';'ภาณุฑัตกรีฑาเวทย์';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล. ';'3 หลัง';'งานทาสี,งานพื้น,'
'นครสวรรค์';'โกรกพระ';'บางประมุง';'273132';'266600';'ราษฎร์อุทิศ';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล. ';'3 หลัง';'งานประปา,งานพื้น,งานทาสี'
'นครสวรรค์';'โกรกพระ';'ศาลาแดง';'312370';'304900';'บ้านกระจังงาม';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล.  ถนน';'4 หลัง';'งานพื้น,งานถนน'
'นครสวรรค์';'ชุมแสง';'ทับกฤช';'758437';'740300';'วัดทับกฤชเหนือ';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล. ';'3 หลัง';'งานพื้น,งานทาสี,งานประตู,'
'นครสวรรค์';'ชุมแสง';'ทับกฤช';'776571';'758000';'ชุมชนวัดคลองปลากด';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล.  ประปา';'3 หลัง';'งานทาสี,งานผนัง,งานพื้น,งานเดินท่อ,'
'นครสวรรค์';'ชุมแสง';'เกยไชย';'1690630';'1650200';'ชุมชนวัดเกยไชยเหนือ(นิรภัยประชานุกูล)';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล. ';'3 หลัง';'งานพื้น,งานทาสี,งานประตู,'
'นครสวรรค์';'ชุมแสง';'โคกหม้อ';'573720';'560000';'บ้านเนินเวียง';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล.  ส้วม';'3 หลัง';'งานพื้น,งานถนน,งานทาสี,งานพื้น,งานสุขภัณฑ์'
'นครสวรรค์';'ชุมแสง';'โคกหม้อ';'411644';'401800';'บ้านต้นโพธิ์(ประชานุกูล)';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล. ';'3 หลัง';'งานทาสี,งานพื้น,งานหน้าต่าง,'
'นครสวรรค์';'ชุมแสง';'ฆะมัง';'1267921';'1237600';'วัดฆะมัง';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล. ';'3 หลัง';'งานทาสี,งานประตูหน้าต่าง,งานบันได,งานทาสี'
'นครสวรรค์';'ชุมแสง';'ฆะมัง';'685698';'669300';'วัดพิกุล';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล.  ส้วม';'4 หลัง';'งานพื้น,งานทาสี,งานบันได,งานสุขภัณฑ์'
'นครสวรรค์';'ชุมแสง';'ทับกฤช';'764482';'746200';'อนุบาลชุมแสง(วัดทับกฤชกลาง)';'น้ำท่วมอาคารเรียน,
อาคารเอนกประสงค์,
พื้น คสล. ';'2 หลัง';'งานทาสี,งานพื้น'
